iter	Logloss
0	0.6848623034
1	0.6757961122
2	0.6678379328
3	0.6604391477
4	0.651967927
5	0.6457453948
6	0.6391694324
7	0.6317002169
8	0.6239607756
9	0.6172061138
10	0.6107524825
11	0.6041962496
12	0.5983038009
13	0.5919696322
14	0.586851035
15	0.581258743
16	0.5758604892
17	0.5707164601
18	0.5652614679
19	0.5602139298
20	0.5558776434
21	0.5518673494
22	0.5478873571
23	0.5438328496
24	0.5392076009
25	0.5344670542
26	0.5306553305
27	0.5265957267
28	0.5227030196
29	0.5182302345
30	0.5148962175
31	0.5110684816
32	0.5076693912
33	0.503934228
34	0.5001653061
35	0.4971345952
36	0.4941351161
37	0.491056038
38	0.487986652
39	0.4852462827
40	0.4822843547
41	0.4791374801
42	0.4770605837
43	0.474486577
44	0.4719040496
45	0.4691766423
46	0.4668256989
47	0.4643020637
48	0.4621262901
49	0.4594598151
50	0.4567566789
51	0.4545218248
52	0.4521449495
53	0.4500974829
54	0.4479515605
55	0.44600623
56	0.4439847797
57	0.4423682151
58	0.4406358806
59	0.4385526877
60	0.4370613643
61	0.435378791
62	0.4334990532
63	0.4320011781
64	0.430028814
65	0.4283130711
66	0.4269045374
67	0.4252267456
68	0.4234838407
69	0.4218237114
70	0.4202383942
71	0.4186971161
72	0.4175425851
73	0.415981125
74	0.4145113905
75	0.4132999291
76	0.412202719
77	0.410944945
78	0.4098305749
79	0.4086072947
80	0.4076809998
81	0.4066408471
82	0.4057018467
83	0.4049126416
84	0.4037370131
85	0.4026114556
86	0.4014730881
87	0.4007045507
88	0.3997841723
89	0.3986308884
90	0.3978381321
91	0.3967603232
92	0.3957827054
93	0.394970745
94	0.3940230879
95	0.3933484993
96	0.3926372945
97	0.3917377289
98	0.3907691713
99	0.3899915024
100	0.3889918862
101	0.3881159553
102	0.3872560755
103	0.3864280601
104	0.3857504576
105	0.3849971195
106	0.3840605654
107	0.3831204678
108	0.3823889721
109	0.3816589806
110	0.3809855749
111	0.3803569682
112	0.3794293339
113	0.3785846762
114	0.3779340471
115	0.3773006387
116	0.3765819987
117	0.3758758413
118	0.3750981211
119	0.3745148844
120	0.3739952161
121	0.3735614356
122	0.3729340392
123	0.3723912618
124	0.3718321125
125	0.3712365721
126	0.3707252294
127	0.3701460742
128	0.3696775155
129	0.3691388102
130	0.3685284387
131	0.3680887642
132	0.3676674137
133	0.367161038
134	0.3667905958
135	0.3663437881
136	0.3659052244
137	0.3655975338
138	0.365172931
139	0.3649569773
140	0.364541173
141	0.3641742387
142	0.3638003959
143	0.3632390001
144	0.3628073631
145	0.3623447916
146	0.362016581
147	0.3616340799
148	0.3613138645
149	0.3610022733
150	0.3607208557
151	0.3604550518
152	0.3600134079
153	0.3597146
154	0.359387328
155	0.3590260135
156	0.3586124052
157	0.3583037036
158	0.3578894532
159	0.3576227357
160	0.3572639571
161	0.3567419403
162	0.3564008435
163	0.3562851254
164	0.3560970018
165	0.3557630068
166	0.355596158
167	0.3553679487
168	0.3550492029
169	0.3547319223
170	0.3544861703
171	0.3542152764
172	0.3538739456
173	0.3535165664
174	0.3530144295
175	0.3527049114
176	0.3524547791
177	0.35215697
178	0.3518139049
179	0.351510228
180	0.351080852
181	0.3506024852
182	0.3502978872
183	0.3499677279
184	0.3497756522
185	0.3494191047
186	0.3489355583
187	0.3486747108
188	0.3484453771
189	0.3478864529
190	0.3476440169
191	0.3473800464
192	0.347075894
