id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Subscribed
1,42,management,divorced,tertiary,no,0,no,no,unknown,6,jun,61,1,-1,0,unknown,0
2,33,management,single,tertiary,no,627,no,no,cellular,27,aug,61,5,-1,0,unknown,0
3,27,management,single,tertiary,no,390,no,no,cellular,9,feb,120,2,104,2,failure,1
4,31,admin.,single,secondary,no,43,no,no,unknown,1,jul,484,1,-1,0,unknown,0
5,40,services,married,secondary,no,251,yes,no,cellular,30,jul,153,6,-1,0,unknown,0
6,39,services,married,primary,no,1951,yes,no,unknown,23,may,208,2,-1,0,unknown,0
7,30,management,single,tertiary,no,1028,no,no,cellular,4,feb,1294,2,-1,0,unknown,1
8,43,management,married,tertiary,no,676,no,no,cellular,25,aug,143,4,-1,0,unknown,0
9,49,entrepreneur,single,secondary,no,5802,no,no,cellular,12,aug,175,3,104,2,success,0
10,80,retired,married,secondary,no,2354,no,no,telephone,4,feb,739,1,181,2,failure,1
11,33,management,married,tertiary,no,4570,no,no,cellular,22,aug,1258,2,-1,0,unknown,1
12,62,retired,married,secondary,no,2917,no,no,cellular,12,apr,147,1,188,1,success,0
13,30,management,single,tertiary,no,63,yes,no,cellular,20,apr,260,1,320,1,other,0
14,38,management,married,tertiary,no,0,no,no,cellular,24,sep,246,12,197,6,failure,0
15,31,admin.,married,secondary,no,393,yes,no,unknown,14,may,466,1,-1,0,unknown,0
16,43,self-employed,married,secondary,no,5317,no,no,cellular,31,jul,244,2,-1,0,unknown,0
17,30,admin.,married,secondary,no,1794,no,no,cellular,20,nov,1035,1,-1,0,unknown,1
18,35,management,divorced,tertiary,no,2287,no,no,cellular,18,nov,130,3,-1,0,unknown,0
19,26,management,single,tertiary,no,1643,no,no,cellular,12,aug,243,1,-1,0,unknown,0
20,41,admin.,divorced,secondary,no,4,yes,no,cellular,5,feb,232,1,211,1,failure,0
21,36,technician,married,secondary,no,361,no,no,cellular,6,aug,188,4,-1,0,unknown,0
22,21,student,single,primary,no,8278,no,no,cellular,29,oct,445,1,-1,0,unknown,1
23,44,services,married,secondary,no,4837,yes,no,cellular,13,may,324,3,-1,0,unknown,0
24,25,management,single,tertiary,no,702,no,no,cellular,14,apr,163,2,-1,0,unknown,0
25,37,blue-collar,divorced,secondary,no,638,yes,no,cellular,8,may,326,1,326,2,success,0
26,32,technician,married,secondary,no,1568,no,no,cellular,12,aug,161,6,-1,0,unknown,0
27,41,management,single,secondary,no,3234,yes,no,cellular,30,jan,2770,1,-1,0,unknown,1
28,30,self-employed,single,secondary,no,1031,no,no,unknown,20,oct,7,1,-1,0,unknown,0
29,29,management,married,tertiary,no,1606,yes,no,cellular,3,feb,17,6,-1,0,unknown,0
30,60,retired,married,tertiary,no,1336,no,no,unknown,18,jun,324,1,-1,0,unknown,0
31,75,retired,married,secondary,no,291,no,no,cellular,12,aug,350,1,182,2,success,1
32,28,management,single,tertiary,no,41,yes,no,cellular,15,may,885,3,352,2,other,1
33,56,management,married,tertiary,no,412,no,no,telephone,20,nov,179,6,-1,0,unknown,0
34,36,blue-collar,married,primary,no,441,yes,no,cellular,7,may,100,4,358,1,failure,0
35,57,technician,married,secondary,no,589,yes,no,cellular,28,jan,198,1,244,1,other,0
36,41,entrepreneur,married,primary,no,39,yes,no,cellular,21,nov,549,2,-1,0,unknown,1
37,37,housemaid,single,secondary,no,1358,no,no,telephone,28,jan,119,1,-1,0,unknown,0
38,49,admin.,married,secondary,no,0,no,no,cellular,30,apr,551,1,-1,0,unknown,1
39,25,admin.,single,secondary,no,230,no,no,telephone,30,jul,394,14,-1,0,unknown,0
40,74,retired,married,tertiary,no,1124,no,no,telephone,13,oct,200,2,-1,0,unknown,0
41,31,unemployed,single,tertiary,no,1489,yes,no,cellular,3,feb,678,1,-1,0,unknown,0
42,30,management,single,tertiary,no,147,no,no,cellular,9,sep,234,1,100,1,failure,1
43,57,technician,divorced,secondary,no,99,yes,no,cellular,11,may,133,2,370,2,failure,0
44,29,blue-collar,single,tertiary,no,455,no,no,telephone,21,apr,403,1,-1,0,unknown,1
45,37,admin.,married,secondary,no,10465,no,no,unknown,17,jun,144,6,-1,0,unknown,0
46,49,management,divorced,secondary,no,-46,yes,no,unknown,9,jun,1055,10,-1,0,unknown,1
