number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.9344905934065936,2026-03-22 04:57:40.740635,2026-03-22 05:05:27.287035,0 days 00:07:46.546400,0.3119890406724053,7,3500,7.190609389379256,0.02841881747862225,0.812037280884873,COMPLETE
1,0.9331239999999998,2026-03-22 05:05:27.472856,2026-03-22 05:11:36.264930,0 days 00:06:08.792074,1.9398197043239886,6,2500,7.956508044572319,0.025898287605281723,0.5411689885916049,COMPLETE
2,0.9339868571428571,2026-03-22 05:11:36.367019,2026-03-22 05:18:52.244374,0 days 00:07:15.877355,1.0495128632644757,5,4500,4.283831568974037,0.012627329201463677,1.1084844859190754,COMPLETE
3,0.9349988571428572,2026-03-22 05:18:52.346748,2026-03-22 05:25:32.590394,0 days 00:06:40.243646,0.7327236865873834,6,3500,3.9764570245642927,0.013770560347033606,1.0842892970704363,COMPLETE
4,0.9348615384615384,2026-03-22 05:25:32.717338,2026-03-22 05:29:53.601176,0 days 00:04:20.883838,0.09290082543999545,5,3500,6.599641068895281,0.023693222883062724,1.684829137724085,COMPLETE
5,0.9336439999999999,2026-03-22 05:29:53.700816,2026-03-22 05:39:37.959472,0 days 00:09:44.258656,1.6167946962329223,5,4000,9.642198760773333,0.012060371447596417,2.4312640661491187,COMPLETE
6,0.9341645714285715,2026-03-22 05:39:38.075528,2026-03-22 05:49:17.777030,0 days 00:09:39.701502,0.9903538202225404,7,3000,6.081067456177209,0.011132723982452594,0.7440764696895577,COMPLETE
7,0.93429810989011,2026-03-22 05:49:17.879935,2026-03-22 05:55:24.487434,0 days 00:06:06.607499,1.0401360423556216,5,2500,7.637655990477874,0.027155392923951263,1.123422152178822,COMPLETE
8,0.9333979340659342,2026-03-22 05:55:24.585492,2026-03-22 06:05:11.848386,0 days 00:09:47.262894,1.7896547008552977,7,4000,8.425929763527801,0.012251746147057511,2.3789978831283785,COMPLETE
9,0.9347983296703297,2026-03-22 06:05:11.966888,2026-03-22 06:10:24.175438,0 days 00:05:12.208550,0.6506606615265287,5,4000,4.371880036934016,0.027532509117113364,0.5904545778210761,COMPLETE
10,0.9343918681318681,2026-03-22 06:10:24.309755,2026-03-22 06:17:05.185102,0 days 00:06:40.875347,1.38049414713829,6,5000,3.125733129303738,0.01661893014657876,1.6957621336147723,COMPLETE
11,0.9352237802197803,2026-03-22 06:17:05.290126,2026-03-22 06:23:51.944093,0 days 00:06:46.653967,0.025882032279653328,6,3500,5.657229703941564,0.019850137322134736,1.769374599342845,COMPLETE
12,0.934681098901099,2026-03-22 06:23:52.058628,2026-03-22 06:30:32.821681,0 days 00:06:40.763053,0.4861207445281205,6,3000,5.228003750873657,0.01776387753708375,2.010105623962572,COMPLETE
13,0.9350697142857142,2026-03-22 06:30:32.964558,2026-03-22 06:38:05.072316,0 days 00:07:32.107758,0.7067922766539213,6,3000,3.1845765908406527,0.016842979217595866,1.33311423255428,COMPLETE
14,0.9344902417582417,2026-03-22 06:38:05.190048,2026-03-22 06:42:04.051387,0 days 00:03:58.861339,0.004330441429231134,6,3000,3.100244570183601,0.02051811180424381,1.5151064898595434,COMPLETE
15,0.9347700659340661,2026-03-22 06:42:04.144108,2026-03-22 06:49:34.994510,0 days 00:07:30.850402,0.3190617966136936,6,3000,5.4721587013074835,0.015809698663155507,2.052145026876115,COMPLETE
16,0.9350163516483516,2026-03-22 06:49:35.096501,2026-03-22 06:53:20.682060,0 days 00:03:45.585559,1.3024558620845985,6,2500,5.088827077061946,0.020405055890745222,1.3268281993854256,COMPLETE
17,0.934798197802198,2026-03-22 06:53:20.786172,2026-03-22 06:57:31.876215,0 days 00:04:11.090043,0.7849256397517201,7,4500,9.00173791006544,0.019735747831266817,1.9258957908179615,COMPLETE
18,0.9351596483516483,2026-03-22 06:57:31.964943,2026-03-22 07:02:41.757594,0 days 00:05:09.792651,0.24886188723312114,7,3500,6.249165472314659,0.014713583376665208,1.5959623253104165,COMPLETE
19,0.9353641318681317,2026-03-22 07:02:41.863338,2026-03-22 07:08:08.109073,0 days 00:05:26.245735,0.2217334922042269,7,4500,6.478681466587312,0.014406805792716882,2.1810743834566235,COMPLETE
20,0.935048131868132,2026-03-22 07:08:08.260384,2026-03-22 07:14:00.670850,0 days 00:05:52.410466,0.16380580806823275,7,5000,6.947716546145592,0.010303547463522992,2.2152347214032853,COMPLETE
21,0.934897802197802,2026-03-22 07:14:00.765024,2026-03-22 07:17:36.173105,0 days 00:03:35.408081,0.3362825286725521,7,4500,6.0417201586077915,0.014916344041644793,1.8197106849439348,COMPLETE
22,0.9348643076923077,2026-03-22 07:17:36.268046,2026-03-22 07:22:05.050209,0 days 00:04:28.782163,0.5040563756601533,7,3500,6.029219278263439,0.014143961526044885,2.2108908097483644,COMPLETE
23,0.9352505494505494,2026-03-22 07:22:05.149681,2026-03-22 07:25:30.130346,0 days 00:03:24.980665,0.13846561095254964,7,4000,5.7141314963542715,0.018492866801586478,1.5481386778413155,COMPLETE
24,0.935146065934066,2026-03-22 07:25:30.238046,2026-03-22 07:29:23.908848,0 days 00:03:53.670802,0.05315893692436224,7,4500,4.814642698696775,0.018438368460967147,1.7855309089718228,COMPLETE
25,0.9354716043956044,2026-03-22 07:29:24.010890,2026-03-22 07:32:38.465431,0 days 00:03:14.454541,0.4809795397254599,7,4000,5.665907559659504,0.021785629012884875,2.2007514038065743,COMPLETE
26,0.935081010989011,2026-03-22 07:32:38.590213,2026-03-22 07:36:10.680185,0 days 00:03:32.089972,0.48506412009860334,7,4000,7.4089796168275175,0.023231330044528434,2.264771506234849,COMPLETE
27,0.934895956043956,2026-03-22 07:36:10.775503,2026-03-22 07:39:05.146799,0 days 00:02:54.371296,0.5154616827979187,7,4500,6.721480735567458,0.022479143072187756,2.0830732987046043,COMPLETE
28,0.9351505494505492,2026-03-22 07:39:05.243129,2026-03-22 07:42:16.560315,0 days 00:03:11.317186,0.18081974839264853,7,5000,4.717279189917166,0.018562012077464746,1.3291568064634438,COMPLETE
29,0.9349494065934066,2026-03-22 07:42:16.655207,2026-03-22 07:46:29.615228,0 days 00:04:12.960021,0.3793243653636392,7,4000,7.111120725860944,0.029916725466096968,2.4655368883346505,COMPLETE
