number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.9355066373626374,2026-03-23 03:47:00.581190,2026-03-23 03:51:33.826932,0 days 00:04:33.245742,0.3119890406724053,7,3500,7.190609389379256,0.02841881747862225,0.812037280884873,COMPLETE
1,0.9349664615384615,2026-03-23 03:51:33.939049,2026-03-23 03:56:00.783185,0 days 00:04:26.844136,1.9398197043239886,6,2500,7.956508044572319,0.025898287605281723,0.5411689885916049,COMPLETE
2,0.9354204835164834,2026-03-23 03:56:00.885590,2026-03-23 04:03:26.938685,0 days 00:07:26.053095,1.0495128632644757,5,4500,4.283831568974037,0.012627329201463677,1.1084844859190754,COMPLETE
3,0.9357008791208791,2026-03-23 04:03:27.020566,2026-03-23 04:10:33.637044,0 days 00:07:06.616478,0.7327236865873834,6,3500,3.9764570245642927,0.013770560347033606,1.0842892970704363,COMPLETE
4,0.9348633846153847,2026-03-23 04:10:33.719459,2026-03-23 04:16:09.436290,0 days 00:05:35.716831,0.09290082543999545,5,3500,6.599641068895281,0.023693222883062724,1.684829137724085,COMPLETE
5,0.9347202197802198,2026-03-23 04:16:09.524014,2026-03-23 04:24:31.105856,0 days 00:08:21.581842,1.6167946962329223,5,4000,9.642198760773333,0.012060371447596417,2.4312640661491187,COMPLETE
6,,2026-03-23 04:24:31.218837,,,0.9903538202225404,7,3000,6.081067456177209,0.011132723982452594,0.7440764696895577,RUNNING
7,0.9355066373626374,2026-03-23 08:45:34.159890,2026-03-23 08:49:52.649399,0 days 00:04:18.489509,0.3119890406724053,7,3500,7.190609389379256,0.02841881747862225,0.812037280884873,COMPLETE
8,0.9349664615384615,2026-03-23 08:49:52.951040,2026-03-23 08:57:16.267743,0 days 00:07:23.316703,1.9398197043239886,6,2500,7.956508044572319,0.025898287605281723,0.5411689885916049,COMPLETE
9,0.9354204835164834,2026-03-23 08:57:16.566293,2026-03-23 09:09:39.015168,0 days 00:12:22.448875,1.0495128632644757,5,4500,4.283831568974037,0.012627329201463677,1.1084844859190754,COMPLETE
10,0.9357008791208791,2026-03-23 09:09:39.238431,2026-03-23 09:19:52.926047,0 days 00:10:13.687616,0.7327236865873834,6,3500,3.9764570245642927,0.013770560347033606,1.0842892970704363,COMPLETE
11,0.9356293626373625,2026-03-23 09:19:53.148760,2026-03-23 09:26:18.375764,0 days 00:06:25.227004,0.6877350882260297,6,5000,3.125733129303738,0.01682033052233128,1.6957621336147723,COMPLETE
12,0.9357041758241759,2026-03-23 09:26:18.536910,2026-03-23 09:37:19.098087,0 days 00:11:00.561177,0.7121824466699873,6,3000,4.911160938559995,0.01616281446819073,1.3777660293557983,COMPLETE
13,0.9361794285714286,2026-03-23 09:37:19.385453,2026-03-23 09:44:06.827116,0 days 00:06:47.441663,0.7416271370267629,7,3000,5.3390952295063885,0.01694245129986473,1.4727574629497904,COMPLETE
14,0.935040131868132,2026-03-23 09:44:07.081410,2026-03-23 09:50:02.222400,0 days 00:05:55.140990,1.3536361161912305,7,3000,5.419856216737866,0.018999842316241664,2.0433282865138764,COMPLETE
15,0.936100967032967,2026-03-23 09:50:02.396079,2026-03-23 10:01:41.120019,0 days 00:11:38.723940,0.5326814177148325,7,3000,5.399595017864214,0.017752156901972765,1.4108835665301898,COMPLETE
16,0.9359431648351647,2026-03-23 10:01:41.284182,2026-03-23 10:07:21.474206,0 days 00:05:40.190024,0.4479474518093699,7,3000,5.690758494422338,0.0205228570840857,1.4875658292122684,COMPLETE
17,0.935486989010989,2026-03-23 10:07:21.606159,2026-03-23 10:13:24.342057,0 days 00:06:02.735898,1.3024558620845985,7,2500,5.912220268421785,0.02068514599134938,1.893823661669879,COMPLETE
18,0.9355327912087912,2026-03-23 10:13:24.482103,2026-03-23 10:20:56.741253,0 days 00:07:32.259150,0.01426832734162331,7,3000,6.21757846719555,0.015264281583728594,2.1896690757257837,COMPLETE
19,0.9358156043956044,2026-03-23 10:20:56.971395,2026-03-23 10:27:14.608047,0 days 00:06:17.636652,0.4294650955954069,7,4000,5.032750022075959,0.01862604779985321,1.6711297864648138,COMPLETE
20,0.9358253186813186,2026-03-23 10:27:14.733906,2026-03-23 10:37:22.767986,0 days 00:10:08.034080,0.8889175128454063,7,3000,3.0777961173835524,0.01023241880285781,1.3378911934938629,COMPLETE
21,0.9359735384615384,2026-03-23 10:37:22.918104,2026-03-23 10:45:56.579101,0 days 00:08:33.660997,1.2506906090515173,7,2500,8.618432432033915,0.02222543831103653,1.3724123420740701,COMPLETE
22,0.9353854945054947,2026-03-23 10:45:56.780604,2026-03-23 10:53:28.434237,0 days 00:07:31.653633,1.262716887699555,7,2500,9.579973130739395,0.02212277319455433,1.2345763030402344,COMPLETE
23,0.9351384175824177,2026-03-23 10:53:28.556750,2026-03-23 11:02:57.291256,0 days 00:09:28.734506,1.600746087749219,7,2500,8.970261966035746,0.01755659346091926,1.5600159098641488,COMPLETE
24,0.9356257142857144,2026-03-23 11:02:57.438056,2026-03-23 11:16:42.712368,0 days 00:13:45.274312,0.8983469296439337,7,3000,8.582484953124576,0.014823831535941676,1.4885157635812167,COMPLETE
25,0.9355643956043954,2026-03-23 11:16:43.215725,2026-03-23 11:28:32.542983,0 days 00:11:49.327258,0.5687203737044471,7,2500,6.652489179544526,0.019354719506328836,1.7855309089718228,COMPLETE
26,0.9353891868131868,2026-03-23 11:28:32.821940,2026-03-23 11:34:42.466854,0 days 00:06:09.644914,1.1647363829442865,7,3000,5.202492875768864,0.022279938904985166,0.8934193261871611,COMPLETE
27,0.9352648791208791,2026-03-23 11:34:42.613648,2026-03-23 11:39:50.127220,0 days 00:05:07.513572,1.5859895990719424,6,2500,7.210923184107764,0.017153481218233898,1.292757280477959,COMPLETE
