fold,seed,trial_seed,best_auc,best_epoch,epochs_ran
1,42,1042,0.9293461538461538,10,22
1,2024,3024,0.929876923076923,14,26
1,3407,4407,0.9269494505494504,11,23
2,42,2042,0.9238379120879121,17,29
2,2024,4024,0.9211802197802197,13,25
2,3407,5407,0.9204543956043956,12,24
3,42,3042,0.9331840659340659,16,28
3,2024,5024,0.9330527472527472,16,28
3,3407,6407,0.9326,17,29
4,42,4042,0.9315587912087913,16,28
4,2024,6024,0.9314434065934066,12,24
4,3407,7407,0.9278494505494507,13,25
5,42,5042,0.9330351648351648,13,25
5,2024,7024,0.9311379120879121,17,29
5,3407,8407,0.9309197802197802,10,22
