fold,seed,trial_seed,best_auc,best_epoch,epochs_ran
1,42,1042,0.9291032967032967,13,27
1,2024,3024,0.9301686813186812,14,28
1,3407,4407,0.9283697802197802,13,27
1,777,1777,0.9290708791208792,19,33
1,1337,2337,0.9312747252747252,13,27
1,1001,2001,0.9286214285714286,11,25
1,2718,3718,0.9281983516483516,12,26
1,4096,5096,0.9306736263736264,17,31
2,42,2042,0.9231054945054944,15,29
2,2024,4024,0.9221587912087911,13,27
2,3407,5407,0.9196467032967033,13,27
2,777,2777,0.9221549450549449,14,28
2,1337,3337,0.9191538461538461,19,33
2,1001,3001,0.9186483516483517,15,29
2,2718,4718,0.9201296703296702,13,27
2,4096,6096,0.9223428571428571,13,27
3,42,3042,0.930362087912088,15,29
3,2024,5024,0.9307983516483516,15,29
3,3407,6407,0.9304153846153846,15,29
3,777,3777,0.9306434065934065,15,29
3,1337,4337,0.9307994505494506,16,30
3,1001,4001,0.9308565934065934,15,29
3,2718,5718,0.9321802197802198,17,31
3,4096,7096,0.928167032967033,11,25
4,42,4042,0.9253769230769231,11,25
4,2024,6024,0.9310653846153846,13,27
4,3407,7407,0.9305747252747253,14,28
4,777,4777,0.929154945054945,11,25
4,1337,5337,0.931343956043956,13,27
4,1001,5001,0.9267840659340659,13,27
4,2718,6718,0.9271076923076923,13,27
4,4096,8096,0.929439010989011,14,28
5,42,5042,0.9322934065934066,10,24
5,2024,7024,0.9322093406593408,10,24
5,3407,8407,0.9341890109890109,10,24
5,777,5777,0.9328489010989011,15,29
5,1337,6337,0.9311021978021977,9,23
5,1001,6001,0.9331186813186814,11,25
5,2718,7718,0.9337769230769231,12,26
5,4096,9096,0.9301291208791209,11,25
