number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9314609230769232,2026-03-29 00:42:18.919502,2026-03-29 00:42:34.771866,0 days 00:00:15.852364,0.6232334448672797,0.07220721098226064,8,31,1.416145155592091,2000,121,0.6245760287469893,0.002570603566117598,0.662397808134481,COMPLETE
1,0.9320074725274725,2026-03-29 00:42:34.904501,2026-03-29 00:42:43.678918,0 days 00:00:08.774417,0.7216968971838151,0.07514773163638976,5,35,0.5824582803960838,1000,160,0.00052821153945323,7.71800699380605e-05,0.6733618039413735,COMPLETE
2,0.9318396483516483,2026-03-29 00:42:43.792589,2026-03-29 00:43:08.513171,0 days 00:00:24.720582,0.6798695128633439,0.013365201439497277,6,74,0.09290082543999545,3000,35,0.00042472707398058225,0.0021465011216654484,0.9140703845572055,COMPLETE
3,0.9320478241758242,2026-03-29 00:43:08.609675,2026-03-29 00:43:24.730069,0 days 00:00:16.120394,0.7218455076693483,0.01425603092014988,10,146,0.8803049874792026,3000,19,7.569183361880229e-08,0.014391207615728067,0.9233589392465844,COMPLETE
4,0.9333568791208791,2026-03-29 00:43:24.852942,2026-03-29 00:43:36.471010,0 days 00:00:11.618068,0.7246844304357644,0.028002016637795054,10,46,0.3697089110510541,1000,17,0.0004793052550782129,0.0008325158565947976,0.8650089137415928,COMPLETE
5,0.9318017582417581,2026-03-29 00:43:36.582317,2026-03-29 00:43:44.127422,0 days 00:00:07.545105,0.6353970008207678,0.05012041881363469,10,94,0.6506606615265287,4000,216,5.805581976088804e-07,2.5529693461039728e-08,0.9687496940092467,COMPLETE
6,0.9314044395604395,2026-03-29 00:43:44.225926,2026-03-29 00:43:54.875918,0 days 00:00:10.649992,0.6563696899899051,0.017581365134766134,6,49,1.9737738732010346,2000,158,0.16587190283399655,4.6876566400928895e-08,0.8170784332632994,COMPLETE
7,0.9318512087912088,2026-03-29 00:43:54.964071,2026-03-29 00:44:13.196082,0 days 00:00:18.232011,0.9085081386743783,0.015116739956471236,9,109,0.23173811905025943,3500,16,4.638759594322625e-08,1.683416412018213e-05,0.8916028672163949,COMPLETE
8,0.9318361758241759,2026-03-29 00:44:13.280266,2026-03-29 00:44:23.532534,0 days 00:00:10.252268,0.8918424713352255,0.036550582047840036,4,53,0.9444298503238986,4000,39,0.005470376807480391,0.9658611176861268,0.7300733288106989,COMPLETE
9,0.9314810989010989,2026-03-29 00:44:23.625776,2026-03-29 00:44:32.936078,0 days 00:00:09.310302,0.8090931317527976,0.04406808978662837,7,118,0.2157828539866089,1000,131,7.04480806377519e-05,1.6934490731313353e-08,0.7975182385457563,COMPLETE
10,0.9310647912087912,2026-03-29 00:44:33.041607,2026-03-29 00:44:44.273545,0 days 00:00:11.231938,0.983908298378168,0.026758216579794065,8,12,1.4768110894500417,1500,66,8.476957030644504e-06,3.3316309468938505,0.8163775632702192,COMPLETE
11,0.93223978021978,2026-03-29 00:44:44.365437,2026-03-29 00:45:06.580787,0 days 00:00:22.215350,0.7623276281659578,0.01019680964492776,10,150,0.703126362087622,2500,17,1.5780471160093265e-08,0.10378856809467511,0.9758524559654704,COMPLETE
12,0.932130989010989,2026-03-29 00:45:06.695775,2026-03-29 00:45:29.845868,0 days 00:00:23.150093,0.7925153971864091,0.010265761668818768,10,148,0.5227164357184223,2500,26,0.013263042930385037,0.41972526356794376,0.9973359332207825,COMPLETE
13,0.9315862417582417,2026-03-29 00:45:29.946820,2026-03-29 00:45:44.781379,0 days 00:00:14.834559,0.7650161130670783,0.02298985469984221,9,69,0.42085885627734887,2000,62,5.3829049100625305e-06,0.05615778414789155,0.8742018432515737,COMPLETE
14,0.9297186813186814,2026-03-29 00:45:44.910240,2026-03-29 00:45:52.324272,0 days 00:00:07.414032,0.8534743989871685,0.022985598001321706,9,125,1.2808557169532486,1500,25,5.289671088186298,1.3699061465982949e-05,0.9609755209727764,COMPLETE
15,0.9316245714285716,2026-03-29 00:45:52.433564,2026-03-29 00:46:04.079372,0 days 00:00:11.645808,0.7238743784226407,0.03296171891344635,8,92,0.8457312076797169,2500,58,1.1019064993323366e-08,1.974756822499582e-06,0.8557873865083512,COMPLETE
16,0.9326195604395603,2026-03-29 00:46:04.181698,2026-03-29 00:46:25.954003,0 days 00:00:21.772305,0.8294728867276134,0.010582328287452128,10,12,1.1021189588098597,1500,21,8.101788892844727e-06,0.05689788910207258,0.609478164602333,COMPLETE
17,0.9324222857142858,2026-03-29 00:46:26.053599,2026-03-29 00:46:40.801213,0 days 00:00:14.747614,0.8416634198004798,0.019967558515416636,9,15,1.1140208143528438,1500,27,1.5535049690616526e-05,0.0005116000374124794,0.6046781189726265,COMPLETE
18,0.9305985054945054,2026-03-29 00:46:40.881994,2026-03-29 00:46:47.140987,0 days 00:00:06.258993,0.9672659809790162,0.05253358267250077,7,32,1.7364540084927422,1000,42,6.880925840516315e-07,9.605931003761603,0.754261681490325,COMPLETE
19,0.9317333186813186,2026-03-29 00:46:47.253958,2026-03-29 00:46:55.992101,0 days 00:00:08.738143,0.9229165605608636,0.02935186477143674,8,56,1.1542443016958497,1500,22,0.008225723319543202,0.009228184409290626,0.7274970383984627,COMPLETE
20,0.932688967032967,2026-03-29 00:46:56.093572,2026-03-29 00:47:17.394070,0 days 00:00:21.300498,0.8493183205532384,0.012456344347767576,10,23,0.3477977176780309,1000,32,0.00011094421933032769,4.9731464392867e-07,0.6028666685867933,COMPLETE
21,0.9327830329670331,2026-03-29 00:47:17.493819,2026-03-29 00:47:37.753647,0 days 00:00:20.259828,0.8473963695972861,0.012258134228196093,10,22,0.3876808893975011,1000,32,9.681408043223162e-05,3.941839965957626e-07,0.6025422174522602,COMPLETE
22,0.9327031208791209,2026-03-29 00:47:37.862232,2026-03-29 00:47:59.601587,0 days 00:00:21.739355,0.8549987538001184,0.012296540713481815,9,38,0.3488738885233102,1000,33,0.000128658499320246,4.053979009764458e-07,0.656525452250245,COMPLETE
23,0.9317856263736264,2026-03-29 00:47:59.686661,2026-03-29 00:48:19.227902,0 days 00:00:19.541241,0.8823630661884385,0.017538886811366835,9,46,0.0961782333678518,1000,45,0.0012303103299748455,2.528975855321522e-07,0.6779221897091259,COMPLETE
