fold,seed,trial_seed,best_auc,best_epoch,epochs_ran
1,42,1042,0.9310527472527472,12,26
1,2024,3024,0.931513186813187,15,29
1,3407,4407,0.9331923076923075,17,31
1,777,1777,0.9322961538461537,11,25
1,1337,2337,0.9331868131868132,16,30
2,42,2042,0.9201082417582418,12,26
2,2024,4024,0.9177054945054945,14,28
2,3407,5407,0.9183637362637364,12,26
2,777,2777,0.9183065934065935,17,31
2,1337,3337,0.9194038461538461,17,31
3,42,3042,0.9292945054945054,17,31
3,2024,5024,0.927887912087912,17,31
3,3407,6407,0.9306994505494505,18,32
3,777,3777,0.9265434065934067,13,27
3,1337,4337,0.9274785714285714,15,29
4,42,4042,0.927156043956044,14,28
4,2024,6024,0.9301741758241758,12,26
4,3407,7407,0.9288846153846154,16,30
4,777,4777,0.9306664835164835,15,29
4,1337,5337,0.9310681318681319,16,30
5,42,5042,0.9296945054945054,11,25
5,2024,7024,0.9324934065934065,10,24
5,3407,8407,0.9313637362637361,11,25
5,777,5777,0.9311917582417583,9,23
5,1337,6337,0.9288027472527471,14,28
