fold,seed,trial_seed,best_auc,best_epoch,epochs_ran
1,42,1042,0.9278137362637363,19,33
1,2024,3024,0.9294505494505494,32,46
1,3407,4407,0.929829120879121,20,34
1,1337,2337,0.930682967032967,17,31
1,1001,2001,0.9278747252747253,21,35
2,42,2042,0.9245148351648351,24,38
2,2024,4024,0.9268499999999998,35,49
2,3407,5407,0.9215021978021977,21,35
2,1337,3337,0.9246324175824174,19,33
2,1001,3001,0.9215148351648352,25,39
3,42,3042,0.9329351648351648,27,41
3,2024,5024,0.9320626373626374,19,33
3,3407,6407,0.9277956043956044,25,39
3,1337,4337,0.9306142857142858,20,34
3,1001,4001,0.9297763736263736,24,38
4,42,4042,0.9299945054945056,20,34
4,2024,6024,0.9315868131868131,22,36
4,3407,7407,0.9276879120879122,24,38
4,1337,5337,0.9305560439560439,18,32
4,1001,5001,0.9293802197802197,19,33
5,42,5042,0.9349620879120878,15,29
5,2024,7024,0.9329450549450549,13,27
5,3407,8407,0.933056043956044,26,40
5,1337,6337,0.9332708791208791,21,35
5,1001,6001,0.9310329670329669,25,39
