fold,seed,trial_seed,best_auc,best_epoch,epochs_ran
1,42,1042,0.9276692307692307,6,20
1,2024,3024,0.9258489010989011,5,19
1,3407,4407,0.9290043956043956,6,20
1,1337,2337,0.9300549450549451,5,19
1,1001,2001,0.9273054945054945,7,21
2,42,2042,0.9168445054945055,6,20
2,2024,4024,0.9158604395604395,6,20
2,3407,5407,0.9142054945054945,7,21
2,1337,3337,0.9182846153846154,7,21
2,1001,3001,0.9166307692307692,9,23
3,42,3042,0.9276236263736264,9,23
3,2024,5024,0.9251961538461537,10,24
3,3407,6407,0.9275785714285715,8,22
3,1337,4337,0.9263549450549451,5,19
3,1001,4001,0.9256956043956045,7,21
4,42,4042,0.9299219780219781,7,21
4,2024,6024,0.9298785714285714,7,21
4,3407,7407,0.9268329670329669,6,20
4,1337,5337,0.9271521978021978,6,20
4,1001,5001,0.9275335164835166,6,20
5,42,5042,0.9273197802197803,4,18
5,2024,7024,0.926260989010989,4,18
5,3407,8407,0.9285565934065934,5,19
5,1337,6337,0.9317510989010989,4,18
5,1001,6001,0.9265137362637363,5,19
