seed,fold,auc,best_epoch
42,1,0.9216873626373626,100
42,2,0.9066164835164836,100
42,3,0.9211989010989011,100
42,4,0.9162307692307692,100
42,5,0.9186637362637363,91
43,1,0.9106769230769229,99
43,2,0.9202912087912086,100
43,3,0.9104538461538463,99
43,4,0.9207296703296705,99
43,5,0.9193329670329671,96
44,1,0.9249461538461539,100
44,2,0.9170494505494506,97
44,3,0.9234703296703296,99
44,4,0.907887912087912,100
44,5,0.9067362637362637,98
45,1,0.9286208791208791,100
45,2,0.9096802197802198,98
45,3,0.9122714285714284,99
45,4,0.920753846153846,100
45,5,0.9119846153846154,100
46,1,0.916443956043956,100
46,2,0.9167615384615385,100
46,3,0.9197021978021978,99
46,4,0.9127340659340659,100
46,5,0.9158648351648352,100
