seed,fold,auc,best_epoch
42,1,0.9132054945054946,65
42,2,0.8979340659340659,82
42,3,0.9173912087912086,100
42,4,0.9051032967032967,92
42,5,0.9123362637362638,85
43,1,0.9023120879120881,91
43,2,0.9136142857142857,54
43,3,0.9006835164835165,65
43,4,0.911934065934066,79
43,5,0.9128384615384615,77
44,1,0.9137340659340659,93
44,2,0.9135098901098901,67
44,3,0.9157659340659341,98
44,4,0.9043901098901099,82
44,5,0.899021978021978,88
45,1,0.9224032967032967,100
45,2,0.9015714285714286,99
45,3,0.9050219780219779,91
45,4,0.9137483516483517,89
45,5,0.9009142857142857,63
46,1,0.9117483516483517,76
46,2,0.9152186813186812,99
46,3,0.9126714285714286,85
46,4,0.9065252747252748,85
46,5,0.9062252747252747,83
