feature,importance
duration_log1p,0.1562937326792515
duration,0.1110727203179498
month_day_bucket,0.05799192048232344
duration_per_campaign,0.056104071249100586
contact,0.03935730586006787
was_contacted_before,0.031605528856050696
poutcome_month,0.030250750642610222
housing,0.028416764129041896
is_cellular,0.026382597082189013
contact_month,0.02425184453799282
pdays_clean,0.02411801747565421
contact_day_bucket,0.022498022047541547
pdays_bucket,0.019221807084632007
history_state,0.018809653890053138
month,0.01813858025525041
has_any_loan,0.01799853309805916
previous_log1p,0.016989200718869557
duration_bucket,0.016945190958783315
pdays_log1p,0.016296016160830554
poutcome,0.01623341224622277
day,0.014232050189498833
pdays,0.013807968822979631
month_num,0.013690680667331817
default,0.013363999669584983
contacts_total,0.012104112907091206
job,0.01196742376062112
balance_log1p,0.01134054017701899
duration_x_campaign,0.010191198381831629
job_marital,0.009560585459856443
balance_abs_log1p,0.009255583121419853
day_bucket,0.009147644338577173
campaign,0.009010822046228446
previous_bucket,0.008690294831207722
is_default,0.008500681214283748
age_bucket,0.007733334442977784
balance_nonpositive,0.007229385717575786
previous_per_campaign,0.007004253493904335
balance_negative,0.006816334150168218
campaign_log1p,0.006811260623926119
campaign_bucket,0.006756323418504873
education,0.006379533168352748
balance_signed_log1p,0.006106129449654142
loan,0.005909777075738808
age,0.005801701108158048
campaign_x_previous,0.005598958844888429
job_education,0.004909765619749135
previous,0.0046580166045178195
balance,0.004394190285898282
marital,0.00321807684864609
balance_per_age,0.002675131913962346
loan_default,0.0025659137482764425
pdays_was_missing,0.0015926581250944852
