seed,fold,auc,best_epoch
42,1,0.925265934065934,123
42,2,0.9204054945054945,158
42,3,0.9283714285714286,153
42,4,0.9197972527472528,113
42,5,0.9225637362637362,124
2024,1,0.9176703296703295,84
2024,2,0.9126219780219781,148
2024,3,0.9239318681318681,78
2024,4,0.9306780219780221,112
2024,5,0.920528021978022,194
3407,1,0.914771978021978,146
3407,2,0.921020879120879,112
3407,3,0.9218324175824176,117
3407,4,0.9203945054945055,177
3407,5,0.9216670329670328,66
123,1,0.9266274725274725,113
123,2,0.9182791208791209,126
123,3,0.9191565934065934,141
123,4,0.9314225274725275,196
123,5,0.9226142857142857,118
999,1,0.9072302197802198,51
999,2,0.924196153846154,84
999,3,0.9302714285714285,92
999,4,0.920378021978022,145
999,5,0.9336005494505495,176
