feature,importance
duration_log1p,0.15478519258284754
duration,0.07498986858262893
contact_month,0.07180375339125514
duration_per_campaign,0.0506583168850707
month_day_bucket,0.037415301569408255
duration_bucket,0.03095444683465684
month,0.028768204415873133
contact,0.028033782676429978
poutcome_month,0.026804715507980834
has_any_loan,0.023004569941172618
poutcome,0.02247833663683693
duration_x_campaign,0.02192971646417012
history_state,0.021725331590333286
is_cellular,0.021488738533646776
contact_day_bucket,0.018170301963170578
pdays_bucket,0.016942765500395716
was_contacted_before,0.016058392032127947
housing,0.013567418638042091
day_bucket,0.013251364113065559
day,0.012561058741830831
campaign,0.012358260663649569
age,0.012134764984712687
pdays_log1p,0.011784749713700821
is_default,0.011561695460776258
job_marital,0.011380327044294654
pdays_was_missing,0.01130131902680209
balance_nonpositive,0.011292195017269578
marital,0.011127895379214641
balance_per_age,0.011114068002523174
balance_abs_log1p,0.011022958468478273
previous,0.010702815984309633
pdays,0.010625068754021604
balance_negative,0.010314819147847609
month_num,0.010222855318241917
campaign_x_previous,0.01018174877898114
age_bucket,0.01003231588730146
loan,0.00997686002565866
pdays_clean,0.009953489879325119
previous_log1p,0.009239455259229043
balance_signed_log1p,0.008956173947287644
balance_log1p,0.008756287584573587
job_education,0.008700748016313148
previous_per_campaign,0.008662484871648874
job,0.008649442390166153
campaign_bucket,0.00761566822285205
previous_bucket,0.0073638868598555965
contacts_total,0.0063843286260764544
default,0.0059780511118927415
loan_default,0.005833082852951595
campaign_log1p,0.004230463160884911
education,0.0036074036924270973
balance,0.003542739265788434
