seed,fold,auc,best_epoch
42,1,0.9231774725274724,199
42,2,0.9137593406593406,130
42,3,0.9214989010989012,159
42,4,0.918386813186813,189
42,5,0.9273065934065934,166
2024,1,0.923220879120879,130
2024,2,0.91224010989011,166
2024,3,0.9235681318681318,101
2024,4,0.9201197802197801,193
2024,5,0.9264741758241757,170
3407,1,0.911010989010989,69
3407,2,0.9181967032967033,196
3407,3,0.9231010989010989,166
3407,4,0.9198681318681319,179
3407,5,0.9154681318681317,56
123,1,0.9297857142857143,191
123,2,0.9160626373626374,196
123,3,0.9143774725274724,106
123,4,0.9313285714285714,186
123,5,0.9142994505494507,132
999,1,0.9200637362637362,177
999,2,0.9199384615384616,76
999,3,0.9264813186813187,140
999,4,0.9140840659340659,123
999,5,0.9292505494505493,187
