feature,importance
duration_log1p,0.15375663579125046
duration,0.08252397591536365
duration_per_campaign,0.050762763452333916
month_day_bucket,0.04039590885281567
month,0.03780208546578895
contact_month,0.0356226960211385
is_cellular,0.030559062295273488
duration_bucket,0.025678666401683183
housing,0.025004359170784862
poutcome_month,0.024405101134550442
poutcome,0.024287410126661045
has_any_loan,0.023422331909349788
contact,0.021348285175811506
month_num,0.021173251731795767
history_state,0.0199161855065046
previous,0.01849346415823394
pdays,0.017623095425269474
pdays_log1p,0.016301383834073112
campaign_log1p,0.016202193343716413
was_contacted_before,0.016143744003921746
pdays_bucket,0.015594455448348147
pdays_clean,0.015172369012072301
previous_bucket,0.014810402509708378
age,0.013667266780101628
duration_x_campaign,0.013170823883097949
balance_nonpositive,0.013059340958513885
balance_negative,0.012049127729714934
contact_day_bucket,0.011031936192840102
balance_abs_log1p,0.010769014849378786
day,0.01040852879299904
contacts_total,0.01004043542391918
campaign_bucket,0.009678274327330311
loan,0.009406528118888141
balance_signed_log1p,0.009403746430409718
age_bucket,0.009162445088733396
loan_default,0.00913999690002534
pdays_was_missing,0.008965052148466962
campaign,0.008541454228504145
previous_per_campaign,0.008244293482266137
job,0.007977638494073572
day_bucket,0.007835189451031904
previous_log1p,0.00782253297857809
balance_per_age,0.007507642784491083
job_education,0.007276742596703687
marital,0.007243178406062006
balance_log1p,0.00681208017355608
default,0.0066070476165746685
job_marital,0.006440623744787639
balance,0.0062012135311317485
education,0.0055574683461357
is_default,0.00498970991903764
campaign_x_previous,0.0039908399361971904
