fold,seed,trial_seed,best_auc,best_epoch,epochs_ran
1,42,1042,0.9322769230769231,10,22
1,43,1043,0.9285554945054946,12,24
1,44,1044,0.9311373626373627,14,26
2,42,2042,0.9215324175824176,15,27
2,43,2043,0.922171978021978,19,31
2,44,2044,0.9234,21,33
3,42,3042,0.9296917582417582,15,27
3,43,3043,0.9318510989010989,13,25
3,44,3044,0.9255554945054945,21,33
4,42,4042,0.927228021978022,12,24
4,43,4043,0.9273714285714285,17,29
4,44,4044,0.9253923076923077,13,25
5,42,5042,0.9289203296703297,8,20
5,43,5043,0.9303038461538462,11,23
5,44,5044,0.932407142857143,14,26
