timestamp_utc,experiment,competition,submission_path,message,status,local_final_auc,public_lb,private_lb,notes
2026-03-22T18:34:31.311093+00:00,exp003_blend_features,fiicode-2026-ai-competition,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp003_blend_features/submission.csv,exp003 blend features,validated,0.935963,,,
2026-03-22T19:59:05.176582+00:00,exp003_blend_features,fiicode-2026-ai-competition,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp003_blend_features/submission.csv,exp003 blend features,scored,0.935963,0.941440,,User-reported Kaggle public LB after actual submission
2026-03-22T20:04:35.460727+00:00,exp003_blend_features,fiicode-2026-ai-competition,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp003_blend_features/submission.csv,exp003 blend features auth probe,validated,0.935963,,,
2026-03-22T20:05:23.758500+00:00,exp003_blend_features,fiicode-2026-ai-competition,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp003_blend_features/submission.csv,codex submit test exp003,submitted,0.935963,,,
2026-03-23T02:49:06.930974+00:00,exp012_blend_bucket_features_fixed,fiicode-2026-ai-competition,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp012_blend_bucket_features_fixed/submission.csv,exp012 bucket features fixed,submitted,0.936384,,,
2026-03-23T02:51:32.652601+00:00,exp012_blend_bucket_features_fixed,fiicode-2026-ai-competition,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp012_blend_bucket_features_fixed/submission.csv,exp012 bucket features fixed,scored,0.936384,0.947210,,"Kaggle public LB from March 23, 2026 submission"
2026-03-23T06:42:47.419473+00:00,exp013_blend_exp012_exp003,fiicode-2026-ai-competition,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp013_blend_exp012_exp003/submission.csv,exp013 exp012+exp003 blend,submitted,0.936734,,,
2026-03-23T06:45:28.319793+00:00,exp013_blend_exp012_exp003,fiicode-2026-ai-competition,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp013_blend_exp012_exp003/submission.csv,exp013 exp012+exp003 blend,scored,0.936734,0.945880,,"Kaggle public LB from March 23, 2026 submission; weaker than exp012."
2026-03-23T17:56:34.860851+00:00,exp010_blend_bucket_features,fiicode-2026-ai-competition,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp010_blend_bucket_features/submission.csv,exp010 blend buckets full search,submitted,0.936518,,,
2026-03-23T18:07:46.621318+00:00,exp010_blend_bucket_features,fiicode-2026-ai-competition,/mnt/c/Users/dbxdr_iytiz92/Dropbox/fiicode/outputs/submissions/exp010_blend_bucket_features/submission.csv,exp010 blend buckets full search,scored,0.936518,0.946850,,"Kaggle public LB from March 23, 2026 submission; weaker than exp012."
